iter	Passed	Remaining
0	72	18710
1	77	9879
2	81	6911
3	84	5395
4	88	4494
5	92	3900
6	96	3464
7	100	3133
8	104	2889
9	108	2682
10	112	2516
11	115	2371
12	119	2259
13	124	2164
14	127	2071
15	131	1991
16	135	1922
17	139	1861
18	143	1806
19	147	1750
20	151	1704
21	154	1662
22	158	1621
23	162	1580
24	165	1546
25	169	1513
26	172	1480
27	176	1449
28	179	1420
29	183	1397
30	187	1374
31	191	1355
32	195	1332
33	199	1317
34	203	1296
35	207	1278
36	210	1259
37	214	1243
38	218	1224
39	221	1208
40	225	1192
41	229	1182
42	233	1169
43	237	1154
44	240	1139
45	244	1127
46	248	1116
47	252	1104
48	256	1095
49	260	1083
50	264	1072
51	269	1066
52	273	1057
53	278	1051
54	281	1038
55	285	1028
56	290	1024
57	294	1014
58	297	1004
59	302	999
60	306	990
61	312	986
62	316	978
63	319	968
64	323	960
65	326	950
66	330	942
67	334	935
68	338	927
69	341	918
70	347	914
71	350	906
72	354	897
73	357	888
74	361	881
75	364	872
76	368	865
77	371	857
78	377	854
79	381	848
80	384	840
81	388	833
82	392	827
83	396	820
84	401	818
85	405	810
86	408	803
87	412	797
88	416	791
89	420	784
90	423	778
91	427	771
92	431	766
93	436	761
94	439	754
95	444	749
96	449	746
97	454	742
98	458	735
99	462	730
100	466	725
101	470	719
102	475	716
103	479	710
104	483	704
105	486	698
106	490	691
107	497	691
108	502	686
109	507	683
110	512	678
111	515	672
112	520	667
113	523	661
114	527	655
115	531	650
116	534	644
117	539	640
118	543	634
119	547	629
120	552	625
121	555	619
122	559	614
123	563	608
124	566	603
125	570	597
126	574	592
127	577	586
128	581	581
129	585	576
130	588	570
131	592	565
132	596	560
133	599	555
134	603	549
135	608	546
136	614	542
137	619	538
138	624	534
139	627	529
140	631	523
141	636	519
142	640	515
143	644	510
144	649	505
145	653	500
146	657	496
147	661	491
148	665	486
149	669	481
150	674	477
151	678	473
152	683	469
153	688	464
154	692	460
155	697	456
156	701	451
157	707	447
158	710	442
159	714	437
160	718	432
161	723	428
162	726	423
163	732	419
164	736	414
165	740	410
166	744	405
167	748	400
168	751	395
169	755	390
170	759	386
171	763	381
172	767	376
173	771	372
174	775	367
175	779	363
176	782	358
177	786	353
178	790	348
179	794	344
180	800	340
181	804	335
182	808	331
183	814	327
184	817	322
185	822	318
186	826	313
187	830	309
188	834	304
189	839	300
190	845	296
191	848	291
192	851	286
193	855	282
194	859	277
195	862	272
196	866	268
197	870	263
198	873	259
199	877	254
200	881	249
201	885	245
202	888	240
203	892	236
204	895	231
205	899	227
206	903	222
207	906	217
208	911	213
209	914	209
210	918	204
211	922	200
212	925	195
213	928	190
214	932	186
215	936	182
216	939	177
217	943	173
218	947	168
219	951	164
220	957	160
221	961	155
222	966	151
223	971	147
224	975	143
225	979	138
226	984	134
227	988	130
228	992	125
229	997	121
230	1003	117
231	1007	112
232	1012	108
233	1016	104
234	1022	100
235	1026	95
236	1030	91
237	1034	86
238	1039	82
239	1043	78
240	1049	74
241	1053	69
242	1058	65
243	1062	60
244	1066	56
245	1070	52
246	1074	47
247	1080	43
248	1086	39
249	1090	34
250	1094	30
251	1098	26
252	1102	21
253	1105	17
254	1109	13
255	1113	8
256	1117	4
257	1121	0
